Week,Spicy_Tuna_Roll,California_Roll
2/5/2017,15,15
2/12/2017,15,15
2/19/2017,15,15
2/26/2017,47,15
3/5/2017,46,15
3/12/2017,15,15
3/19/2017,15,15
3/26/2017,15,15
4/2/2017,15,15
4/9/2017,15,15
4/16/2017,15,15
4/23/2017,15,15
4/30/2017,15,15
5/7/2017,15,15
5/14/2017,15,15
5/21/2017,15,15
5/28/2017,15,15
6/4/2017,15,15
6/11/2017,15,15
6/18/2017,15,15
6/25/2017,15,15
7/2/2017,15,15
7/9/2017,15,53
7/16/2017,99,15
7/23/2017,15,50
7/30/2017,48,15
8/6/2017,15,15
8/13/2017,15,15
8/20/2017,15,15
8/27/2017,47,15
9/3/2017,15,44
9/10/2017,52,15
9/17/2017,15,15
9/24/2017,15,15
10/1/2017,15,15
10/8/2017,47,15
10/15/2017,15,15
10/22/2017,48,15
10/29/2017,15,97
11/5/2017,15,0
11/12/2017,15,49
11/19/2017,15,48
11/26/2017,15,15
12/3/2017,15,15
12/10/2017,15,49
12/17/2017,15,15
12/24/2017,15,15
12/31/2017,15,15
1/7/2018,15,15
1/14/2018,15,15
1/21/2018,15,15
1/28/2018,15,98
2/4/2018,15,15
2/11/2018,15,15
2/18/2018,48,15
2/25/2018,15,47
3/4/2018,15,15
3/11/2018,48,15
3/18/2018,100,15
3/25/2018,15,15
4/1/2018,15,15
4/8/2018,15,15
4/15/2018,15,15
4/22/2018,15,15
4/29/2018,15,47
5/6/2018,15,48
5/13/2018,15,15
5/20/2018,15,15
5/27/2018,15,15
6/3/2018,15,15
6/10/2018,15,15
6/17/2018,15,46
6/24/2018,47,15
7/1/2018,47,47
7/8/2018,15,15
7/15/2018,15,15
7/22/2018,15,15
7/29/2018,15,15
8/5/2018,15,15
8/12/2018,15,15
8/19/2018,15,15
8/26/2018,15,15
9/2/2018,15,45
9/9/2018,45,15
9/16/2018,46,46
9/23/2018,15,15
9/30/2018,46,46
10/7/2018,15,15
10/14/2018,15,15
10/21/2018,15,15
10/28/2018,15,15
11/4/2018,15,43
11/11/2018,15,15
11/18/2018,15,15
11/25/2018,15,15
12/2/2018,15,15
12/9/2018,15,15
12/16/2018,15,15
12/23/2018,15,15
12/30/2018,47,15
1/6/2019,15,15
1/13/2019,15,45
1/20/2019,89,44
1/27/2019,15,45
2/3/2019,15,15
2/10/2019,15,15
