Week,aloogobi_Tampa_StPetersburg_Sarasota_FL,salad_Tampa_StPetersburg_Sarasota_FL
2/5/2017,15,59
2/12/2017,15,51
2/19/2017,15,42
2/26/2017,15,72
3/5/2017,15,65
3/12/2017,15,65
3/19/2017,15,46
3/26/2017,15,49
4/2/2017,15,47
4/9/2017,15,96
4/16/2017,15,57
4/23/2017,15,57
4/30/2017,15,63
5/7/2017,15,76
5/14/2017,15,57
5/21/2017,15,68
5/28/2017,15,84
6/4/2017,15,60
6/11/2017,15,52
6/18/2017,18,59
6/25/2017,15,61
7/2/2017,15,95
7/9/2017,15,54
7/16/2017,15,59
7/23/2017,16,69
7/30/2017,15,59
8/6/2017,15,72
8/13/2017,16,41
8/20/2017,15,50
8/27/2017,15,42
9/3/2017,15,45
9/10/2017,15,39
9/17/2017,15,48
9/24/2017,15,43
10/1/2017,15,31
10/8/2017,15,54
10/15/2017,15,60
10/22/2017,15,41
10/29/2017,15,25
11/5/2017,15,47
11/12/2017,15,55
11/19/2017,15,74
11/26/2017,15,28
12/3/2017,15,47
12/10/2017,15,48
12/17/2017,15,62
12/24/2017,15,72
12/31/2017,15,46
1/7/2018,15,46
1/14/2018,15,64
1/21/2018,15,49
1/28/2018,15,48
2/4/2018,15,51
2/11/2018,15,31
2/18/2018,15,46
2/25/2018,15,43
3/4/2018,15,62
3/11/2018,15,43
3/18/2018,15,54
3/25/2018,15,83
4/1/2018,15,63
4/8/2018,15,54
4/15/2018,15,52
4/22/2018,15,50
4/29/2018,15,60
5/6/2018,15,61
5/13/2018,15,51
5/20/2018,15,57
5/27/2018,15,68
6/3/2018,15,58
6/10/2018,15,66
6/17/2018,15,56
6/24/2018,15,59
7/1/2018,16,100
7/8/2018,15,58
7/15/2018,15,50
7/22/2018,15,63
7/29/2018,15,63
8/5/2018,15,36
8/12/2018,15,55
8/19/2018,15,52
8/26/2018,15,44
9/2/2018,15,64
9/9/2018,15,52
9/16/2018,15,53
9/23/2018,15,51
9/30/2018,15,45
10/7/2018,15,46
10/14/2018,15,47
10/21/2018,16,47
10/28/2018,15,36
11/4/2018,15,56
11/11/2018,15,57
11/18/2018,15,77
11/25/2018,15,37
12/2/2018,15,40
12/9/2018,15,36
12/16/2018,15,34
12/23/2018,15,66
12/30/2018,15,49
1/6/2019,15,53
1/13/2019,15,46
1/20/2019,15,38
1/27/2019,15,58
2/3/2019,15,47
2/10/2019,15,62
2/17/2019,15,61
2/24/2019,15,51
3/3/2019,15,50
3/10/2019,16,50
3/17/2019,15,45
3/24/2019,15,61
3/31/2019,15,56
4/7/2019,15,48
4/14/2019,15,86
4/21/2019,15,79
4/28/2019,15,54
5/5/2019,15,47
5/12/2019,15,50
5/19/2019,15,74
5/26/2019,15,92
6/2/2019,15,77
6/9/2019,15,63
6/16/2019,15,53
6/23/2019,15,79
6/30/2019,15,91
7/7/2019,15,66
7/14/2019,15,69
7/21/2019,15,68
7/28/2019,15,63
8/4/2019,16,67
8/11/2019,15,59
8/18/2019,15,67
8/25/2019,15,35
9/1/2019,15,56
9/8/2019,15,43
9/15/2019,15,57
9/22/2019,15,49
9/29/2019,15,60
10/6/2019,15,49
10/13/2019,15,61
10/20/2019,15,53
10/27/2019,15,43
11/3/2019,15,50
11/10/2019,16,50
11/17/2019,15,40
11/24/2019,15,75
12/1/2019,15,48
12/8/2019,15,41
12/15/2019,15,69
12/22/2019,15,55
12/29/2019,15,55
1/5/2020,16,56
1/12/2020,15,62
1/19/2020,15,53
1/26/2020,15,59
2/2/2020,15,48
2/9/2020,15,57
2/16/2020,15,55
2/23/2020,15,41
3/1/2020,15,50
3/8/2020,15,48
3/15/2020,15,45
3/22/2020,15,44
3/29/2020,16,43
4/5/2020,15,44
4/12/2020,15,61
4/19/2020,15,62
4/26/2020,15,76
5/3/2020,16,69
5/10/2020,15,67
5/17/2020,15,62
5/24/2020,15,86
5/31/2020,15,58
6/7/2020,15,59
6/14/2020,15,54
6/21/2020,15,52
6/28/2020,15,86
7/5/2020,15,56
7/12/2020,16,60
7/19/2020,15,53
7/26/2020,15,62
8/2/2020,15,60
8/9/2020,15,78
8/16/2020,15,61
8/23/2020,15,59
8/30/2020,15,70
9/6/2020,15,51
9/13/2020,15,56
9/20/2020,15,38
9/27/2020,15,36
10/4/2020,15,30
10/11/2020,15,62
10/18/2020,15,51
10/25/2020,15,41
11/1/2020,15,44
11/8/2020,15,41
11/15/2020,15,51
11/22/2020,15,65
11/29/2020,15,32
12/6/2020,15,47
12/13/2020,15,40
12/20/2020,15,70
12/27/2020,15,50
1/3/2021,15,47
1/10/2021,15,55
1/17/2021,15,52
1/24/2021,15,48
1/31/2021,15,50
2/7/2021,16,55
2/14/2021,15,49
2/21/2021,15,53
2/28/2021,15,56
3/7/2021,15,54
3/14/2021,16,49
3/21/2021,15,54
3/28/2021,15,78
4/4/2021,15,60
4/11/2021,15,46
4/18/2021,15,56
4/25/2021,15,57
5/2/2021,15,47
5/9/2021,15,71
5/16/2021,16,48
5/23/2021,15,71
5/30/2021,16,87
6/6/2021,15,70
6/13/2021,15,59
6/20/2021,15,54
6/27/2021,15,71
7/4/2021,15,73
7/11/2021,16,50
7/18/2021,15,51
7/25/2021,15,60
8/1/2021,15,50
8/8/2021,15,56
8/15/2021,15,52
8/22/2021,16,53
8/29/2021,15,46
9/5/2021,15,39
9/12/2021,15,50
9/19/2021,15,48
9/26/2021,15,38
10/3/2021,15,39
10/10/2021,15,47
10/17/2021,15,26
10/24/2021,15,34
10/31/2021,15,34
11/7/2021,15,32
11/14/2021,15,34
11/21/2021,15,53
11/28/2021,15,34
12/5/2021,15,36
12/12/2021,16,39
12/19/2021,16,63
12/26/2021,15,42
1/2/2022,16,41
1/9/2022,15,47
1/16/2022,15,47
1/23/2022,15,42
